cycle,t_feed,t_rinse,t_blow,t_purge,purity_H2,H2_CO_ratio,purity_CO2,recovery_CO2,productivity
96,610,220,130,105,69.18092560714287,2.271367834821429,81.34886120535717,101.25879901785713,4.264630968303572
97,610,220,130,105,69.18118337837838,2.271307037837838,81.34698621621615,101.25395202702708,4.264435202702705
98,610,220,130,105,69.18126531250002,2.2712791276785707,81.34616555803574,101.2518679017857,4.264350783035714
99,610,220,130,105,69.18130264545454,2.271266300545454,81.34581186363631,101.25092852727273,4.264313327636364
100,690,245,132,108,68.24391313524592,2.189649556967214,83.33294758196722,96.97402094262296,4.233578286885246
101,690,245,132,108,68.13462200819673,2.199891909016393,84.40502668032788,98.3788414344262,4.320521516393443
102,690,245,132,108,68.09860840983609,2.206064121311476,84.77522668032786,99.18621343442622,4.353756709016393
103,690,245,132,108,68.08643782786889,2.2094954590163933,84.89266836065572,99.37019893442621,4.361592211065574
104,690,245,132,108,68.08091040163937,2.210790159426229,84.93355090983611,99.42513754098361,4.363932934016393
105,690,245,132,108,68.07805881147542,2.211321095491803,84.94769583606556,99.4456600409836,4.36481012295082
106,690,245,132,108,68.07689102459014,2.211530435245901,84.95312037704917,99.45326565573772,4.365133182377049
107,690,245,132,108,68.07630471311478,2.211612895491804,84.95516467213113,99.45641524590165,4.365266034836065
108,690,245,132,108,68.0760630532787,2.2116465815573765,84.95599840163935,99.45764745901639,4.36531757090164
109,690,245,132,108,68.07595090163935,2.21165959852459,84.95632706557379,99.45816003278688,4.365339562786883
110,705,200,136,95,68.71018560924367,2.2744176987394957,83.78983367647058,98.6604798319328,4.555437397058821
111,705,200,136,95,68.511744,2.2625933125000004,83.36190562500002,99.01483125,4.602286212499999
112,705,200,136,95,68.44766167796608,2.2588884745762705,83.2893946186441,99.12205199152542,4.607338991525424
113,705,200,136,95,68.4087199159664,2.2570405071428574,83.27939470588237,99.16700688235295,4.6089962710084
114,705,200,136,95,68.39687516949151,2.2565068538135584,83.2806570762712,99.17840853389825,4.609389983050846
115,705,200,136,95,68.39107159663864,2.2562995781512605,83.28218504201685,99.18501207983186,4.609627647899156
116,705,200,136,95,68.38915562500001,2.2562314750000003,83.28315225,99.18708687500002,4.609702712499999
